date,package,chroot,build_time,state,build_id,timestamp
2023/12/17,llvm,fedora-38-x86_64,4754,failed,6763443,1703241183
2023/12/21,llvm,fedora-rawhide-x86_64,2925,failed,6775752,1703241183
2023/12/20,llvm,fedora-rawhide-x86_64,4968,failed,6771434,1703241183
2023/12/18,llvm,fedora-38-x86_64,4181,failed,6765637,1703241183
2023/12/19,llvm,fedora-rawhide-x86_64,4304,failed,6771015,1703241183
2023/12/22,llvm,fedora-rawhide-x86_64,2778,failed,6782404,1703241183
2023/12/21,llvm,fedora-rawhide-s390x,23980,failed,6775751,1703241183
2023/12/20,llvm,fedora-rawhide-s390x,37734,failed,6771433,1703241183
2023/12/22,llvm,fedora-rawhide-s390x,-1,running,6782403,1703241183
2023/12/19,llvm,fedora-rawhide-s390x,37379,failed,6771014,1703241183
2023/12/21,llvm,fedora-rawhide-ppc64le,13491,failed,6775750,1703241183
2023/12/20,llvm,fedora-rawhide-ppc64le,55694,failed,6771432,1703241183
2023/12/22,llvm,fedora-rawhide-ppc64le,13647,failed,6782402,1703241183
2023/12/19,llvm,fedora-rawhide-ppc64le,66538,failed,6771013,1703241183
2023/12/21,llvm,fedora-rawhide-i386,34509,failed,6775749,1703241183
2023/12/20,llvm,fedora-rawhide-i386,21052,failed,6771431,1703241183
2023/12/19,llvm,fedora-rawhide-i386,33912,failed,6771012,1703241183
2023/12/22,llvm,fedora-rawhide-i386,33387,failed,6782401,1703241183
2023/12/20,llvm,fedora-rawhide-aarch64,21224,failed,6771430,1703241183
2023/12/21,llvm,fedora-rawhide-aarch64,13166,failed,6775748,1703241183
2023/12/22,llvm,fedora-rawhide-aarch64,12532,failed,6782400,1703241183
2023/12/19,llvm,fedora-rawhide-aarch64,20674,failed,6771011,1703241183
2023/12/21,llvm,fedora-39-x86_64,2621,failed,6775747,1703241183
2023/12/20,llvm,fedora-39-x86_64,4398,failed,6771429,1703241183
2023/12/19,llvm,fedora-39-x86_64,5588,succeeded,6771010,1703241183
2023/12/22,llvm,fedora-39-x86_64,2873,failed,6782399,1703241183
